标题： 索隆山治哪有乌索普强？？ 	 链接：http://tieba.baidu.com/p/5848076487 	 发帖人：----  	 回复数量： 5 	 发帖时间： 16:35
标题： 有没有一种可能，其实卡二比大妈厉害 	 链接：http://tieba.baidu.com/p/5846542561 	 发帖人：----  	 回复数量： 314 	 发帖时间： 8-19
标题： 探讨下 为何名为海贼王 却一场海战都没打过 	 链接：http://tieba.baidu.com/p/5847711525 	 发帖人：----  	 回复数量： 147 	 发帖时间： 11:46
标题： 想了一晚，鹰眼这种顶级强者为啥要当七武海？ 	 链接：http://tieba.baidu.com/p/5828423646 	 发帖人：----  	 回复数量： 198 	 发帖时间： 8-6
标题： 像伊姆还有骑着熊的这些天龙人他们的下场会如何？ 	 链接：http://tieba.baidu.com/p/5846824225 	 发帖人：----  	 回复数量： 6 	 发帖时间： 8-19
标题： 大妈是不是强过头了 	 链接：http://tieba.baidu.com/p/5846965208 	 发帖人：----  	 回复数量： 83 	 发帖时间： 8-19
标题： 给大家来张福利图 	 链接：http://tieba.baidu.com/p/5848101013 	 发帖人：----  	 回复数量： 5 	 发帖时间： 16:53
标题： 司机：你怎么跪下了？ 	 链接：http://tieba.baidu.com/p/5848039434 	 发帖人：----  	 回复数量： 3 	 发帖时间： 16:08
标题： 海贼王里真正让人厌恶的角色没几个吧 	 链接：http://tieba.baidu.com/p/5847616342 	 发帖人：----  	 回复数量： 207 	 发帖时间： 10:37
标题： 尾田画了这么多年海贼王会不会画腻啊 	 链接：http://tieba.baidu.com/p/5848019145 	 发帖人：----  	 回复数量： 16 	 发帖时间： 15:54
标题： 海贼王里身高差那么多会不会很多因为夫妻生活不和谐导致离婚的? 	 链接：http://tieba.baidu.com/p/5846861831 	 发帖人：----  	 回复数量： 27 	 发帖时间： 8-19
标题： 请问一下  这是尾田画的吗？？？ 	 链接：http://tieba.baidu.com/p/5847881543 	 发帖人：----  	 回复数量： 20 	 发帖时间： 14:11
标题： 喜欢赤帅怎么办！在海贼的世界永远都是个罪人吧！ 	 链接：http://tieba.baidu.com/p/5846595493 	 发帖人：----  	 回复数量： 183 	 发帖时间： 8-19
标题： 路飞加索隆能横扫和之国那就真笑话 	 链接：http://tieba.baidu.com/p/5848049784 	 发帖人：----  	 回复数量： 19 	 发帖时间： 16:15
标题： 弗兰奇被坑哭了,这萌萌哒的拳头真是用来卖萌的 	 链接：http://tieba.baidu.com/p/5847943067 	 发帖人：----  	 回复数量： 4 	 发帖时间： 14:58
标题： 和之国将军是谁来打 	 链接：http://tieba.baidu.com/p/5847143958 	 发帖人：----  	 回复数量： 25 	 发帖时间： 8-19
标题： wt还没交代小玉是什么果实能力 	 链接：http://tieba.baidu.com/p/5846364368 	 发帖人：----  	 回复数量： 103 	 发帖时间： 8-19
标题： …请问我是舔狗吗好累，来个大佬打救我一下 	 链接：http://tieba.baidu.com/p/5841578040 	 发帖人：----  	 回复数量： 441 	 发帖时间： 8-15
标题： 海贼里仇恨值最高的角色投票。。。 	 链接：http://tieba.baidu.com/p/5847700842 	 发帖人：----  	 回复数量： 74 	 发帖时间： 11:38
标题： 加尔默罗修女竟是“孤儿贩子”！居然打算把玲玲卖给世界政府！ 	 链接：http://tieba.baidu.com/p/5847967034 	 发帖人：----  	 回复数量： 1 	 发帖时间： 15:16
标题： 某动强行送了我张抖音卡 	 链接：http://tieba.baidu.com/p/5847948138 	 发帖人：----  	 回复数量： 13 	 发帖时间： 15:02
标题： 最近有在看什么书么 感觉如何 	 链接：http://tieba.baidu.com/p/5847863023 	 发帖人：----  	 回复数量： 126 	 发帖时间： 13:56
标题： 白胡子愿意免费罩鱼人岛并不是因为他心好！ 	 链接：http://tieba.baidu.com/p/5844628044 	 发帖人：----  	 回复数量： 60 	 发帖时间： 8-17
标题： 抖音毁了一代人 	 链接：http://tieba.baidu.com/p/5845906917 	 发帖人：----  	 回复数量： 97 	 发帖时间： 8-18
标题： 鶴姐還能活嗎?? 	 链接：http://tieba.baidu.com/p/5844055946 	 发帖人：----  	 回复数量： 7 	 发帖时间： 8-17
标题： 都说WT江郎才尽？ 	 链接：http://tieba.baidu.com/p/5847853537 	 发帖人：----  	 回复数量： 89 	 发帖时间： 13:49
标题： 贴吧矛盾的一点：大将要从将星身上找平衡… 	 链接：http://tieba.baidu.com/p/5847895486 	 发帖人：----  	 回复数量： 14 	 发帖时间： 14:22
标题： 第一次看见说海贼王没深奥，随便打怪的 	 链接：http://tieba.baidu.com/p/5847588349 	 发帖人：----  	 回复数量： 8 	 发帖时间： 10:16
标题： 为什么那么多人黑山治，有人解释下嘛？从山治篇就没看过了，想攒 	 链接：http://tieba.baidu.com/p/5847245499 	 发帖人：----  	 回复数量： 64 	 发帖时间： 00:05
标题： 讲个笑话路飞加索隆能横扫和之国 	 链接：http://tieba.baidu.com/p/5845583600 	 发帖人：----  	 回复数量： 115 	 发帖时间： 8-18
标题： 原来这样就可以困住卡二阿。。 	 链接：http://tieba.baidu.com/p/5847581463 	 发帖人：----  	 回复数量： 50 	 发帖时间： 10:10
标题： 真要3v3的话，3个台柱的实力在这3个怪物面前完全不够看吧 	 链接：http://tieba.baidu.com/p/5844645957 	 发帖人：----  	 回复数量： 144 	 发帖时间： 8-17
标题： 他怎么就碰上了路飞了呢！！？可惜！！！可叹！！！多么完美的果 	 链接：http://tieba.baidu.com/p/5845846342 	 发帖人：----  	 回复数量： 54 	 发帖时间： 8-18
标题： 这波操作太可以了。。。。。 	 链接：http://tieba.baidu.com/p/5846276236 	 发帖人：----  	 回复数量： 48 	 发帖时间： 8-19
标题： 那几个贴吧版皇副，能不能别真就是皇副了 	 链接：http://tieba.baidu.com/p/5846425741 	 发帖人：----  	 回复数量： 130 	 发帖时间： 8-19
标题： 这是真的假的？ 	 链接：http://tieba.baidu.com/p/5840359300 	 发帖人：----  	 回复数量： 38 	 发帖时间： 8-14
标题： 如果声优去世是真的话，尾田在和之国把黄猿画死也不是没有可能。 	 链接：http://tieba.baidu.com/p/5847465749 	 发帖人：----  	 回复数量： 111 	 发帖时间： 08:12
标题： 如果是卡二跟菊妹子求婚，她会答应不 	 链接：http://tieba.baidu.com/p/5843649664 	 发帖人：----  	 回复数量： 42 	 发帖时间： 8-17
标题： 你们就没有一个想过卡2是大妈和谁生的？ 	 链接：http://tieba.baidu.com/p/5847988411 	 发帖人：----  	 回复数量： 9 	 发帖时间： 15:32
标题： 无语，整的一点气场都没 	 链接：http://tieba.baidu.com/p/5847062997 	 发帖人：----  	 回复数量： 55 	 发帖时间： 8-19
标题： 我们带着恐惧并且非常孤独 上帝知道我不想成为天使 	 链接：http://tieba.baidu.com/p/5845542069 	 发帖人：----  	 回复数量： 70 	 发帖时间： 8-18
标题： 身高真的可以打败爱情啊…… 	 链接：http://tieba.baidu.com/p/5841268901 	 发帖人：----  	 回复数量： 170 	 发帖时间： 8-15
标题： 关于莫里亚的猜想。打凯多，或许他是关键。 	 链接：http://tieba.baidu.com/p/5848104419 	 发帖人：----  	 回复数量： 0 	 发帖时间： 16:55
标题： 如果路飞对应罗杰，谁对应白胡子？谁对应卡普？ 	 链接：http://tieba.baidu.com/p/5847809166 	 发帖人：----  	 回复数量： 30 	 发帖时间： 13:11
标题： 黑胡子旗下的十名巨汉船長分別是誰？ 	 链接：http://tieba.baidu.com/p/5846796749 	 发帖人：----  	 回复数量： 88 	 发帖时间： 8-19
标题： 为什么现在海贼王动画越来越水，什么东西都能水上一集，每次看完 	 链接：http://tieba.baidu.com/p/5847668601 	 发帖人：----  	 回复数量： 29 	 发帖时间： 11:14
标题： 我认为路飞 不会有五档了 	 链接：http://tieba.baidu.com/p/5847052837 	 发帖人：----  	 回复数量： 42 	 发帖时间： 8-19
标题： 求海贼王全部资源 谢谢 	 链接：http://tieba.baidu.com/p/5848101568 	 发帖人：辣手小青瓜  	 回复数量： 2 	 发帖时间： 16:53
标题： 最新850（补）。麻烦先回帖之后再看，楼主需要你的支持 	 链接：http://tieba.baidu.com/p/5847813414 	 发帖人：最新资源...  	 回复数量： 27 	 发帖时间： 13:15
标题： 黄猿真的不来和之国吗？那最恶一代岂不是复仇无望了？ 	 链接：http://tieba.baidu.com/p/5847974729 	 发帖人：三年高一  	 回复数量： 34 	 发帖时间： 15:22
